Date;3955 - Credit operations with nonearmarked funds (preset rate) - Average spread - General total - p.p.
07/1994;126.07
08/1994;113.05
09/1994;110.39
10/1994;114.98
11/1994;127.97
12/1994;139.22
01/1995;139.52
02/1995;146.44
03/1995;135.14
04/1995;143.59
05/1995;144.76
06/1995;137.35
07/1995;134.68
08/1995;139.42
09/1995;137.62
10/1995;135.46
11/1995;132.73
12/1995;127.34
01/1996;104.61
02/1996;106.90
03/1996;96.75
04/1996;94.89
05/1996;86.89
06/1996;81.39
07/1996;77.61
08/1996;73.06
09/1996;72.15
10/1996;56.35
11/1996;56.01
12/1996;56.37
01/1997;54.91
02/1997;59.14
03/1997;58.11
04/1997;54.53
05/1997;55.43
06/1997;54.07
07/1997;51.81
08/1997;52.95
09/1997;52.06
10/1997;50.67
11/1997;62.61
12/1997;63.26
01/1998;61.47
02/1998;70.24
03/1998;65.60
04/1998;67.70
05/1998;59.99
06/1998;57.10
07/1998;54.57
08/1998;52.27
09/1998;56.61
10/1998;61.22
11/1998;62.75
12/1998;58.44
01/1999;58.23
02/1999;63.40
03/1999;61.91
04/1999;68.62
05/1999;62.23
06/1999;57.32
07/1999;52.14
08/1999;50.82
09/1999;51.59
10/1999;51.30
11/1999;48.31
12/1999;43.20
01/2000;41.67
02/2000;44.54
03/2000;40.99
04/2000;40.66
05/2000;37.48
06/2000;39.57
07/2000;38.89
08/2000;38.91
09/2000;38.47
10/2000;37.94
11/2000;36.43
12/2000;36.11
01/2001;35.09
02/2001;37.76
03/2001;34.59
04/2001;35.61
05/2001;34.53
06/2001;35.23
07/2001;34.47
08/2001;38.99
09/2001;39.60
10/2001;42.72
11/2001;41.50
12/2001;39.95
01/2002;41.61
02/2002;41.80
03/2002;41.91
04/2002;40.61
05/2002;40.29
06/2002;37.09
07/2002;38.56
08/2002;39.47
09/2002;39.65
10/2002;40.25
11/2002;42.02
12/2002;42.46
01/2003;44.06
02/2003;44.77
03/2003;47.21
04/2003;47.48
05/2003;47.84
06/2003;46.99
07/2003;45.96
08/2003;44.31
09/2003;43.21
10/2003;42.73
11/2003;42.40
12/2003;41.52
01/2004;41.19
02/2004;40.48
03/2004;40.54
04/2004;40.08
05/2004;37.98
06/2004;37.60
07/2004;37.78
08/2004;37.94
09/2004;37.57
10/2004;37.39
11/2004;36.57
12/2004;35.56
01/2005;36.71
02/2005;36.44
03/2005;36.61
04/2005;36.58
05/2005;37.43
06/2005;37.04
07/2005;37.12
08/2005;37.19
09/2005;37.84
10/2005;37.93
11/2005;37.14
12/2005;36.40
01/2006;37.60
02/2006;38.08
03/2006;38.19
04/2006;37.79
05/2006;36.43
06/2006;35.72
07/2006;35.25
08/2006;35.16
09/2006;35.56
10/2006;35.45
11/2006;35.73
12/2006;34.76
01/2007;35.22
02/2007;34.46
03/2007;33.91
04/2007;33.61
05/2007;33.37
06/2007;32.83
07/2007;32.16
08/2007;31.51
09/2007;31.16
10/2007;30.90
11/2007;29.70
12/2007;28.40
01/2008;32.41
02/2008;32.66
03/2008;31.64
04/2008;31.19
05/2008;30.50
06/2008;31.12
07/2008;32.66
08/2008;33.58
09/2008;34.30
10/2008;36.27
11/2008;38.98
12/2008;39.98
01/2009;39.48
02/2009;38.23
03/2009;37.04
04/2009;36.40
05/2009;35.91
06/2009;34.40
07/2009;33.87
08/2009;33.01
09/2009;32.28
10/2009;32.18
11/2009;30.99
12/2009;29.81
01/2010;30.67
02/2010;29.79
03/2010;29.00
04/2010;28.69
05/2010;28.82
06/2010;28.06
07/2010;28.97
08/2010;28.95
09/2010;28.40
10/2010;29.17
11/2010;27.67
12/2010;27.83
01/2011;30.46
02/2011;30.79
03/2011;31.53
04/2011;32.97
05/2011;32.95
06/2011;32.14
07/2011;32.03
08/2011;32.76
09/2011;32.98
10/2011;33.92
11/2011;32.70
12/2011;31.32
01/2012;32.57
02/2012;33.34
03/2012;32.82
04/2012;30.77
05/2012;28.68
06/2012;26.94
07/2012;27.04
08/2012;26.39
09/2012;26.22
10/2012;25.92
11/2012;25.36
12/2012;24.69
Source;BCB-DSTAT
