Data;1848 - Recolhimentos obrigatórios de instituições financeiras - Depósitos de poupança em espécie (remunerados) - u.m.c. (mil)
07/1994;6.234.000
08/1994;6.351.000
09/1994;7.711.000
10/1994;7.869.000
11/1994;8.117.000
12/1994;8.173.000
01/1995;8.319.000
02/1995;8.376.000
03/1995;8.491.000
04/1995;8.803.000
05/1995;9.452.000
06/1995;9.966.000
07/1995;10.477.000
08/1995;10.679.000
09/1995;8.551.000
10/1995;8.589.000
11/1995;8.679.000
12/1995;8.921.000
01/1996;9.524.000
02/1996;9.554.000
03/1996;9.563.000
04/1996;9.539.000
05/1996;9.467.000
06/1996;9.403.000
07/1996;9.431.000
08/1996;9.428.000
09/1996;9.499.000
10/1996;9.627.000
11/1996;9.810.000
12/1996;10.111.000
01/1997;10.682.000
02/1997;11.153.000
03/1997;11.442.000
04/1997;11.653.000
05/1997;11.899.000
06/1997;12.460.000
07/1997;12.652.000
08/1997;12.824.000
09/1997;12.769.000
10/1997;12.849.000
11/1997;13.138.000
12/1997;14.056.000
01/1998;14.084.000
02/1998;14.328.000
03/1998;13.767.000
04/1998;13.717.000
05/1998;13.751.000
06/1998;13.921.000
07/1998;14.492.000
08/1998;14.652.000
09/1998;14.505.000
10/1998;14.632.000
11/1998;14.756.000
12/1998;14.915.000
01/1999;15.068.000
02/1999;15.107.000
03/1999;15.252.000
04/1999;15.292.000
05/1999;15.364.000
06/1999;15.460.000
07/1999;16.044.000
08/1999;15.701.000
09/1999;15.414.000
10/1999;15.000.000
11/1999;14.755.000
12/1999;14.899.000
01/2000;15.021.000
02/2000;15.029.000
03/2000;14.965.000
04/2000;14.831.000
05/2000;14.718.000
06/2000;14.855.000
07/2000;15.108.000
08/2000;15.362.000
09/2000;15.305.000
10/2000;14.817.000
11/2000;14.523.000
12/2000;14.716.000
01/2001;15.066.000
02/2001;15.008.000
03/2001;14.996.000
04/2001;14.939.000
05/2001;15.003.000
06/2001;15.324.000
07/2001;15.709.000
08/2001;16.035.000
09/2001;16.256.000
10/2001;16.545.000
11/2001;16.884.000
12/2001;17.574.000
01/2002;17.737.000
02/2002;17.703.000
03/2002;17.748.000
04/2002;17.732.000
05/2002;17.963.000
06/2002;18.219.000
07/2002;25.594.000
08/2002;26.695.000
09/2002;27.219.000
10/2002;27.713.000
11/2002;27.655.000
12/2002;28.092.000
01/2003;28.099.000
02/2003;28.015.000
03/2003;27.737.000
04/2003;27.724.000
05/2003;27.519.000
06/2003;27.433.000
07/2003;27.580.000
08/2003;27.655.000
09/2003;27.684.000
10/2003;27.698.000
11/2003;27.729.000
12/2003;28.613.000
01/2004;28.861.000
02/2004;28.811.000
03/2004;28.736.000
04/2004;28.854.000
05/2004;28.970.000
06/2004;29.563.000
07/2004;30.081.000
08/2004;30.202.000
09/2004;30.423.000
10/2004;30.520.000
11/2004;30.595.000
12/2004;31.601.000
01/2005;31.929.000
02/2005;31.851.000
03/2005;31.834.000
04/2005;32.024.000
05/2005;31.721.000
06/2005;31.885.000
07/2005;32.281.000
08/2005;32.324.000
09/2005;32.460.000
10/2005;32.396.000
11/2005;32.549.000
12/2005;33.549.000
01/2006;33.809.000
02/2006;33.954.000
03/2006;33.619.000
04/2006;33.572.000
05/2006;33.239.000
06/2006;33.485.000
07/2006;34.001.000
08/2006;34.328.000
09/2006;34.796.000
10/2006;35.074.000
11/2006;35.695.000
12/2006;36.893.000
01/2007;37.966.000
02/2007;38.316.000
03/2007;38.816.000
04/2007;39.351.000
05/2007;40.087.000
06/2007;40.733.000
07/2007;41.631.000
08/2007;42.456.000
09/2007;43.739.000
10/2007;44.505.000
11/2007;45.074.000
12/2007;47.116.000
01/2008;47.895.000
02/2008;48.532.000
03/2008;49.138.000
04/2008;49.784.000
05/2008;49.503.000
06/2008;50.002.000
07/2008;51.074.000
08/2008;51.260.000
09/2008;52.048.000
10/2008;52.594.000
11/2008;50.492.000
12/2008;51.036.000
01/2009;51.621.000
02/2009;51.812.000
03/2009;51.893.000
04/2009;52.384.000
05/2009;52.597.000
06/2009;53.150.000
07/2009;54.530.000
08/2009;55.583.000
09/2009;56.732.000
10/2009;57.046.000
11/2009;57.781.000
12/2009;60.009.000
01/2010;61.271.000
02/2010;61.577.000
03/2010;61.993.000
04/2010;62.688.000
05/2010;63.260.000
06/2010;64.175.000
07/2010;66.276.000
08/2010;67.517.000
09/2010;68.769.000
10/2010;69.474.000
11/2010;70.314.000
12/2010;72.185.000
01/2011;73.163.382
02/2011;73.293.415
03/2011;73.742.899
04/2011;74.077.845
05/2011;74.095.056
06/2011;74.468.252
07/2011;76.228.440
08/2011;77.516.831
09/2011;78.867.773
10/2011;79.417.994
11/2011;80.305.626
12/2011;80.713.232
01/2012;82.014.890
02/2012;82.082.586
03/2012;82.840.201
04/2012;83.630.513
05/2012;85.087.602
06/2012;86.306.186
07/2012;88.168.507
08/2012;89.799.452
09/2012;91.226.249
10/2012;92.494.262
11/2012;93.318.599
12/2012;95.569.420
01/2013;97.035.775
02/2013;97.395.936
03/2013;98.870.475
04/2013;100.176.996
05/2013;101.443.781
06/2013;103.048.622
07/2013;106.681.241
08/2013;108.612.082
09/2013;110.726.709
10/2013;111.718.422
11/2013;113.366.094
12/2013;116.213.827
01/2014;118.344.653
02/2014;118.701.585
03/2014;119.659.290
04/2014;120.639.236
05/2014;121.157.498
06/2014;122.292.925
07/2014;124.218.796
08/2014;124.982.387
09/2014;126.208.155
10/2014;126.898.072
11/2014;120.575.632
12/2014;122.393.740
01/2015;123.399.983
02/2015;122.861.260
03/2015;120.986.665
04/2015;120.717.269
05/2015;120.423.632
06/2015;142.553.974
07/2015;140.466.942
08/2015;136.700.671
09/2015;134.522.741
10/2015;132.880.004
11/2015;130.648.724
12/2015;131.592.628
01/2016;130.751.139
02/2016;127.146.233
03/2016;125.860.799
04/2016;124.615.489
05/2016;122.724.097
06/2016;121.959.438
07/2016;121.427.596
08/2016;121.425.024
09/2016;122.189.678
10/2016;121.989.360
11/2016;122.693.185
12/2016;125.143.775
01/2017;126.719.420
02/2017;126.973.489
03/2017;127.139.316
04/2017;127.788.771
05/2017;128.153.561
06/2017;130.083.480
07/2017;161.240.738
08/2017;162.511.964
09/2017;164.332.558
10/2017;164.627.156
11/2017;165.377.287
12/2017;168.991.960
01/2018;172.598.511
02/2018;172.384.155
03/2018;173.933.090
04/2018;174.927.017
05/2018;148.511.784
06/2018;149.576.702
07/2018;151.581.708
08/2018;153.266.127
09/2018;155.245.034
10/2018;156.216.331
11/2018;156.356.830
12/2018;159.151.881
01/2019;159.481.159
02/2019;158.452.156
03/2019;159.082.708
04/2019;159.516.567
05/2019;159.808.899
06/2019;160.453.888
07/2019;161.266.461
08/2019;161.732.055
09/2019;163.774.214
10/2019;165.352.037
11/2019;165.215.367
12/2019;168.507.342
01/2020;169.308.693
02/2020;167.988.789
03/2020;168.079.581
04/2020;173.551.763
05/2020;178.994.851
06/2020;185.574.350
07/2020;173.204.149
08/2020;168.323.262
09/2020;156.546.371
10/2020;152.514.066
11/2020;150.273.434
12/2020;149.201.066
01/2021;148.778.901
Fonte;BCB-DSTAT
